一个	одна штука, один
对策	контрмеры, корректирующие меры
小事	неважное дело, пустяк, мелочь
少量	малое количество; небольшой, неполномерный
山上	на горе, в горах
左翼	воен. левое крыло, левый фланг [армии]
布朗	булан (некит. народность в пров. Юньнань)
干燥	сушить; сухой, сушеный; сушильный
年内	за этот год, в течение данного года
廉价	низкая цена; умеренная цена
当晚	в тот [же] вечер
彩色	разноцветный, цветной; пёстрый
扩建	расширить и реконструировать
抢救	спешить на помощь (на выручку)
护理	ухаживать, заботиться, уход (за больным)
担保	ручаться, гарантировать; поручительство
指望	надеяться, полагаться, рассчитывать
损伤	повреждать; портить; вредить; увечить
排斥	отталкивать, отбрасывать, отвергать
日志	дневник; журнал (напр., вахтенный)
日文	японский язык; японская письменность
晓得	знать, понимать, разуметь; понял!
本届	данный (настоящий) созыв; данный срок
步行	идти пешком; пешком; ходьба
沿着	пред. вдоль, по, следуя
法则	правило, принцип, закономерность, закон
流入	впадать, вливаться
流氓	хулиган, шпана; бродячий люд; бродяга
海盗	морское пиратство, морской разбой
源自	происходить (из чего-л.)
犹豫	колебаться, быть в нерешительности
猪肉	свинина
电压	вольтаж; напряжение тока
盲目	слепой; слепо, наобум, очертя голову
省长	[гражданский] губернатор провинции
碎片	осколок, обломок, обрезок; клочок, лоскут
胸部	грудь; грудной
至此	к этому; к этому времени; до сих пор
节点	мат. узловая (кратная) точка
菩萨	будд. бодхисатва
行事	делать дела, заниматься делами
解体	распадаться, разлагаться; распад, развал
解析	анализ; анализировать; аналитический
话语	речь, язык
调控	регулирование и контроль, настройка
遗忘	забывать, предавать забвению
遗迹	следы старины, реликвии
青海	Цинхай (провинция в КНР)
首脑	глава, руководитель
骨头	кость, косточка
鲨鱼	акула
一小	с детства, с младых ногтей
专属	специально принадлежать
二年	второй год
以内	наречие внутри, в этих пределах
会晤	увидеться, встретиться; принять; свидание
伴侣	партнёр, компаньон; товарищ; спутник
修理	поправлять, приводить в порядок; чинить
元首	глава [государства]; государь; вождь
光辉	свет, сияние; блеск; блестящий
公认	общепризнанный
兵团	воен.
出动	выступить (о войсках); выход, вылет
出境	выезжать (вывозить) за пределы территории…
出面	присутствовать, появиться
初次	в первый раз, впервые; первичный, первый
力气	[физическая] сила; (мускульная) энергия
单车	диал. велосипед
压抑	давить, подавлять; сдерживать, осаживать
原油	нефть; неочищенная нефть; сырая нефть
发觉	обнаружить, раскрыть, заметить
变为	см. 变作
回避	избегать, уклоняться, удалиться
地步	опорный пункт; точка опоры
垂直	отвесный; вертикальный, перпендикулярный
城里	в городе
塑造	лепить, ваять; лепка, ваяние; лепной
大体	всё тело; общее, целое; главное, основное
大麻	конопля
姊妹	сёстры (старшая и младшая)
宁夏	Нинся (автономный район в КНР)
将要	в будущем; вот-вот
强力	сила; насилие; силовой, насильственный
当场	тут же, немедленно, сразу же; на месте
心想	думать, размышлять
总算	итого; в общем и целом; в конце концов
戏曲	китайский национальный театр
打扮	наряжать(ся); переодеваться (кем-либо)
扫描	сканирование, сканировать, считывать
掌控	контроль, контролировать
摘要	выбирать самое важное; конспектировать
数值	[численное] значение, параметр; цифровой
日后	через несколько дней, позднее; впредь
智力	ум, интеллект; умственные способности
束缚	путы; оковы; кабала; связать; обуздать
极了	в высшей степени, чрезвычайно, весьма
林业	лесоводство, лесное хозяйство; лесной
毛病	недостаток, изъян, порок, дефект
毫不	нисколько не…; ни на волос не...
民政	гражданская администрация
水面	водная поверхность, зеркало (напр. озера)
永不	никогда [больше] не...
法人	юридическое лицо (ЮЛ)
洛阳	Лоян (городской округ в провинции Хэнань
海水	морская вода; морской
温州	Вэньчжоу (городской округ в провинции…
澄清	chéngqīng устранять путаницу (неразбериху)
灯光	свет лампы (фонаря)
献给	посвятить, отдать, преподнести
玩笑	шутка
球场	стадион, арена, корт
用以	использовать с целью...; для того чтобы...
电器	электроприбор, электроаппарат
白痴	мед. идиотизм, слабоумие
皇室	царствующий дом; императорская фамилия
相遇	встретиться, сойтись, встреча
神父	духовный отец (священник, ксёндз, аббат
窗户	окно, окошко
精品	товары высшего качества
自豪	чувствовать гордость, быть гордым за...
蝴蝶	бабочка
行走	ходить, путешествовать
表决	голосовать; вотировать; голосование; вотум
表态	выразить свою точку зрения
装修	отделывать; отделка, ремонт (квартиры)
诚实	правдивый, честный, искренний
诠释	толковать, трактовать, интерпретировать
跨国	транснациональный, межгосударственный
过年	I guònián
进士	цзиньши (высшая учёная степень в системе…
进度	увеличение (производства)
适宜	подходящий; соответствующий; надлежащий
避开	скрываться, избегать
防守	оборонять, защищать; сторожить, стеречь
难受	нельзя терпеть; нестерпимый
雇主	наниматель, работодатель; хозяин
一丝	шелковинка, волосок, прядь, струйка
一再	ещё и ещё раз, повторно, неоднократно
一月	январь, январский
一枚	одна (медаль, кольцо, яйцо, монета, бомба
一身	один, сам по себе
三名	триномен
下级	нижестоящая инстанция; младшие командиры
与会	участвовать в заседании
专政	диктатура
中亚	Центральная Азия, Средняя Азия
做成	проделать; слепить; устроить; произвести
充实	плотный, богатый
充电	эл. зарядка, заряд, подзарядка; заряжать
写下	написать
写成	написать, изложить на бумаге
农药	агрохимические препараты; ядохимикаты
出入	выходить и входить; включать и исключать
分数	мат. дробь; дробный
前辈	старшее поколение; старший по возрасту
化解	устранить, разрешить, нейтрализовать
厌恶	испытывать отвращение, не любить
参谋	советовать, давать советы
受理	принимать к рассмотрению
叛乱	изменять, бунтовать; мятеж, смута, бунт
可谓	можно назвать; можно сказать
哪怕	хотя бы; пусть [даже]; даже если
唯有	только лишь, см. 只有
商量	консультироваться, советоваться
处女	девственница, дева; девушка; девственный
大爷	I dàye
好转	повернуться к лучшему
始于	начинаться в..., брать начало в...
审讯	юр. допрашивать; допрос
尚无	пока нет, ещё нет
常识	элементарные познания
底层	нижний этаж, нижний слой, нижний уровень
影子	тень; теневой; скрытый; неофициальный
恰当	соответствующий, подходящий, уместный
悲惨	горестный, трагический; жалкий, несчастный
战线	линия фронта; прям., перен. фронт
持久	держаться стойко, долго сопротивляться
损坏	повреждение; повреждать; сломать, сорвать
据悉	сообщается (что...), согласно сведениям
收录	подбирать и записывать; включать в списки
放大	приближать (изображение на компьютере)
旅程	путь, маршрут; путешествие
无罪	юр.
无锡	Уси (городской округ в провинции Цзянсу
星星	I xīngxing звёзды II xīngxīng
景象	картина, сцена, зрелище, вид
服用	принимать (о лекарстве)
来得	справляться (с работой), годиться
来讲	см. 来说
树木	дерево, деревья
概况	общая обстановка, общее положение
殴打	бить, избивать, наносить побои
沦为	докатиться до..., дойти до..., опуститься
清朝	qīngcháo династия Цин (маньчжурская…
灭绝	истребить, уничтожить, уничтожение
电车	трамвай, троллейбус
疗法	мед. метод, способ лечения (также родовое…
看好	kànhǎo
移植	пересадка (растений), пикировка
空袭	воздушное нападение, воздушный налёт
纲领	программа, платформа (политическая
经由	ход событий; как было дело
而后	после...; после того как
肮脏	грязный, испачканный, вымазанный, нечистый
自发	автоматически действующий (возникающий…
自家	см. 自己
解开	распустить, ослабить, развязать
解答	решать (напр. научные проблемы)
证人	свидетель
语法	грамматика [живого языка]
车厢	вагон; купе
轿车	легковой автомобиль
进驻	выдвинуться, войти, расположиться
通行	ходить, проходить [повсюду], циркулировать
邮政	почта, почтовые операции, почтовая служба
重返	вернуться
门票	входной билет
阻挡	преграждать путь; блокировать
陷阱	попадать в западню (ловушку)
雅典	Афины (столица Греции)
面具	маска (театральная); личина
骑兵	кавалерия; конница
高涨	повышаться, расти, идти на подъём; подъём
上司	непосредственный начальник; начальство
下雨	идёт дождь; стоит дождливая погода
不吃	bùchī не есть, не употреблять в пищу
业主	владелец, собственник (недвижимости
两周	оба периода династии Чжоу (Западная Чжоу…
中立	нейтральный; нейтралитет
之旅	(какой-то, чего-то) отпуск, путешествие
也门	Йемен
亲吻	целовать
会面	увидеться (встретиться); свидание
伪造	подделывать; фальсифицировать
僵尸	закоченевший (высохший) труп
先行	идти впереди; быть впереди (передовым)
判刑	выносить приговор, приговаривать
判定	выносить решение; решение (суда)
半天	половина дня; полдня
受损	понести потерю; получить повреждение
变换	изменять, переменять, варьировать
另有	сверх того имеется; особо имеется
可不	разве не..?, не... ли [будет]?
哭泣	тихо плакать; всхлипывать; слезливый
嘴巴	рот, щёки, лицо; морда
堕落	падать; впадать; опускаться
奇妙	удивительный, чудной, странный, искусный
女权	права женщин, женские права
审美	эстетическое восприятие; эстетика
客机	сокр. пассажирский самолёт, лайнер
导航	навигация; кораблевождение
尽头	конец; конечный пункт, финиш
岩石	скала, камень; скальный, каменный
常态	нормальное состояние (положение), реалии
平稳	устойчивый, стабильный; ровный, спокойный
康复	восстановить здоровье, выздороветь
延迟	задержка; отсрочивать, задерживать
异议	[иметь, выражать
得分	défēn выиграть очко, набрать очко
户口	население; количество дворов и число…
房产	жильё, недвижимость (жилая); жилищный фонд
接管	принимать в ведение (предприятие, дела)
携手	взяться за руки, рука об руку, сплоченный
早点	завтрак, утренний чай
明日	завтра, назавтра, на следующий день
更名	менять имя; переименовываться
板块	кусок плиты, плита; лист; доска
歌声	звуки песни; песня
比利	Билли (имя)
比重	физ. удельный вес
水晶	кристалл; хрусталь
沮丧	падать духом; подавленный, унылый
波斯	Персия
波音	муз. мордент -----Боинг (Boeing) (компания
消化	растворять; переваривать, усваивать
温泉	горячий источник, геотермальный источник
烟草	[листовой] табак
物业	недвижимое имущество, недвижимость
瓦解	рассыпаться (на части), развалиться
电动	электропривод; электрический привод
电流	электрический ток; сила тока
看似	видимо, выглядеть как, казаться
社群	см. 社会群体
空白	оставлять пустым, не заполнять; чистый
立体	мат. тело
糖果	конфеты; засахаренные фрукты; сладости
纤维	волокно [пряжи]; фибра; волокнистый
经纪	закон; основной принцип; дисциплина
羞辱	стыд, позор
老鼠	мышь; крыса
肉体	тело, плоть; физический, плотский
自私	своекорыстный, эгоист; себялюбие, эгоизм
艰苦	мучительный, тяжёлый, трудоёмкий; страдный
英尺	[английский] фут
获利	получать пользу (выгоду, прибыль)
葡萄	виноград; виноград культурный (лат. Vitis…
薪水	зарплата, оклад, жалованье
见识	кругозор, осведомлённость; опытность
视角	физ. угол зрения, оптический угол, ракурс
警报	тревога; сигнал тревоги, оповещение
议案	вопрос, предложение
谈谈	поговорить (удвоение 谈)
赞美	восхвалять, расхваливать, превозносить
走廊	коридор; галерея; веранда
赶上	успевать, быть вовремя
进军	двигать войско в поход, идти в поход
金色	золотистый [цвет], золотой
降临	нисходить, спускаться; посещать
难怪	неудивительно, что
集成	интегрированный; встроенный
黑白	чёрно-белый
龙头	голова дракона
东欧	Восточная Европа
二次	второй
交付	передавать, посылать (товары) на…
亲王	ист. великий князь, князь крови
促成	ускорять; способствовать завершению
借款	сделать заём, взять ссуду
兑现	обменять на наличные деньги
党组	партийная группа
公务	государственная служба; казённый
出资	финансировать; кредитовать; давать деньги
击中	попасть, поразить (цель), нанести удар
动摇	колебаться; шататься; расшатываться
勋章	орден, медаль
北平	Бэйпин (название Пекина с 1928 до
千米	километр, км
南宁	Наньнин (городской округ в…
合资	объединённый капитал на паях
听众	слушатели, публика, аудитория
墓地	кладбище
处决	приводить в исполнение смертный приговор
处在	находиться в..., пребывать в...
大叔	вежл. дядя; Вы (к другу отца
夺得	захватить, завоевать
宣扬	отдавать должное заслугам; прославлять
对称	duìchèn симметрия; симметричный
巡逻	патрулирование; патрулировать
幼稚	молодой; детский; младенческий
延安	Яньань (городской округ в Шэньси, КНР)
强国	великая (могущественная) держава
彩虹	радуга; радужный
德里	Дели (город в Индии)
必需	необходимый; необходимо; нужный
战后	после войны; послевоенный
执照	свидетельство, удостоверение; лицензия
扭转	повёртывать; закручивать; вывёртывать
换成	менять на...
改组	реорганизовать; обновить
无形	бестелесный, невидимый; незаметный
无情	беспощадный, безжалостный
无视	игнорировать, пренебрегать, презирать
晚餐	вечерняя еда (ужин, поздний обед)
本性	характер, природа, натура; качества
本月	текущий месяц, т. м., этот месяц
机票	билет на самолёт, авиабилет
桌子	стол
楼梯	лестница (в доме)
气息	дыхание; вдыхать
汉人	китайцы, ханьцы
津贴	пособие; дотация, субсидия; надбавка
火焰	пламя; факел; огонь; прям.
玛丽	Мэри, Мари, Мария (имя)
留意	обращать внимание
皇上	царь, государь, император
盒子	ящик; коробка с крышкой; футляр; шкатулка
破解	объяснять, разъяснять, толковать
笨蛋	глупец, тупица, олух, болван
第七	седьмой (по порядку); в-седьмых
精心	тщательно, отдавать всю душу
要点	основное положение, основной пункт
货车	грузовой автомобиль, грузовик, фура
身心	тело и душа; физическое и духовное
追究	расследовать, разбирать; выяснять
逃脱	сбежать; избежать
道具	реквизит, предмет, бутафория
酒精	алкоголь; спирт
钓鱼	удить рыбу; рыбалка
防卫	оборонять, защищать, охранять; оборона
鞋子	туфли, ботинки, башмаки; обувь
首届	первый случай
马丁	тех. мартеновская печь, мартен
一期	первая очередь, первый этап (напр.
三人	третье лицо
下车	слезть с экипажа; сойти с поезда
主机	главное устройство (механизм, агрегат
产地	место производства, место добычи
亲切	близкий, дружеский, добрый; тёплый
传染	распространять заразу (инфекцию), заражать
供电	электроснабжение, энергоснабжение
俗称	обычно называется, обычно говорят
倒闭	обанкротиться, закрыться (о предприятии)
倾听	внимательно слушать, прислушиваться
公报	правительственный вестник
共计	общий итог, общая сумма; в общем итоге
典范	классический образец, образец, пример
内政	сокр. внутренняя политика
再现	вновь появиться; повториться; повторение
军阀	главнокомандующий; военачальник
减肥	худеть; похудение; снижение веса
出路	путь отхода
加密	шифровать, кодировать, засекречивать
包容	относиться снисходительно, прощать
半夜	полночь, глубокая ночь; в полночь
发光	блестеть; светиться
发文	выпустить документ
右手	правая рука, десница, правый, справа
同伴	спутник, попутчик
名额	установленное число (людей); квота (людей)
后台	место (помещение) за сценой (за кулисами)
固然	безусловно, несомненно; конечно; правда
多余	избыточный, излишний, ненужный
多半	больше половины
实业	производственная деятельность; добыча
家具	мебель
少将	генерал-майор, контр-адмирал
山地	горная местность; горный
左边	левая сторона; налево, по левую руку
布什	Буш (фамилия)
带回	принести обратно
平日	обычный день, будни
幸好	см. 幸亏
录制	записывать (производить звукозапись)
得主	победитель, лауреат (премий и т.д.)
战国	см. 战国时期
户籍	журнал регистрации гражданина по месту…
批发	оптовая торговля; продавать оптом; оптовый
找回	возвращать; найти и вернуть
招募	вербовать, рекрутировать, набирать
拿走	унести, забрать, убрать
插入	проникать, втираться
摩擦	тереть; трение; физ. сила трения
改建	реконструировать; реконструированный
改成	преобразовывать, трансформировать
无能	неспособный, беспомощный; бездарный
来访	прийти с визитом, нанести визит, навещать
棒球	мяч для игр с битами, бейсбольный мяч
椅子	стул
正要	вот-вот, как раз
步枪	винтовка; винтовочный
汇集	собирать[ся], концентрировать[ся]
流出	вытекать, утекать (напр. о ценностях за…
清代	маньчжурская эпоха
演习	упражняться, тренироваться
激光	лазер
热心	энтузиазм, воодушевление
父子	отец и сын; отцы и дети
狠狠	свирепо, безжалостно, жестоко, озлобленно
称赞	одобрять, восхищаться, расхваливать
统筹	всестороннее (комплексное) планирование
聘请	приглашать, предлагать (поступить на…
节能	энергосбережение
蜘蛛	паук
行径	тропа, путь
行情	эк. конъюнктура, ситуация на рынке
调解	мирить; примирять
赛车	велосипедные гонки; мотогонки; автогонки
这会	сейчас, только что, в настоящий момент
逃跑	бежать; обратиться в бегство; убежать
重申	вторично заявлять; повторять, подтверждать
长远	далёкий, дальний, долгосрочный, отдалённый
防空	сокр. 防备空袭
阿拉	рел. Аллах
预约	заключить предварительное соглашение
风俗	обычай, привычка; нравы
首度	первый раз, впервые
马路	проезжая (шоссейная) дорога, дорога
鸟类	пернатые, птицы
一则	во-первых, сперва
万物	все существа, всё живое, всё сущее
上空	воздушное пространство; воздух; небо
下游	нижнее течение; низовье реки, нижний плёс
专科	специальный предмет, спецкурс
东侧	восток; восточная сторона
事宜	постановка дела; мероприятия
从业	заниматься, работать, практиковать
以致	союз со значением результата
体力	физическая сила
何处	в каком месте?; где?; куда?
借助	с помощью, при помощи, посредством
先是	до этого, ранее того, перед этим, сначала
克斯	поцелуй, англ. kiss
全书	полный текст книги
八卦	багуа, восемь триграмм [Ицзина] (порядок…
关门	закрывать дверь
兵力	войска; военные (вооружённые) силы
养成	воспитывать, культивировать, развивать
几何	сколько?
削减	уменьшать, убавлять, сокращать, урезать
反恐	контртеррористический
发音	произносить (звук), издавать звук
召唤	призывать, звать; призыв, зов
右边	правая сторона; направо, справа [от...]
号称	называться, именоваться, прозываться
同类	один род; одна порода; однородный
名声	репутация, реноме; известность, слава
向来	всегда (перед отрицанием — никогда)
售价	отпускная цена, цена реализации
啪啪	шлёп-шлёп, хлоп-хлоп
器材	арматура; аппаратура; материалы
困惑	испытывать недоумение, стать в тупик
土豆	картофель
字体	начертание иероглифов
安心	спокойствие; успокоение
官兵	устар. правительственные войска
对照	сопоставлять, сравнивать; сопоставление
届时	в установленное время; к тому времени
展出	выставлять, экспонировать; экспозиция
巨额	огромное количество, масса
师生	учитель и ученики
帐篷	палатка, шатёр; юрта
带上	приносить; приводить с собой
平凡	обыкновенный, простой; обыденный
引爆	детонация, детонировать
强暴	безжалостный, бесчеловечный, жестокий
归属	определить свою принадлежность
征求	запрашивать, искать; собирать
态势	состояние, ситуация, положение, тенденция
恐慌	испуг, паника, панический страх, кризис
悠久	долгий; долгое время; вечный
战区	боевой участок
所知	усвоенное; познания
手表	наручные часы, часы-браслет
拆迁	переезд из-за сноса (дома); реновация
拉萨	Лхаса (городской округ в Тибетском…
推迟	спускать на тормозах, замедлять
推销	сбывать, реализовать
掩饰	замазывать, приукрашать [свои недостатки]
揭开	раскрывать, развёртывать; вскрывать
改装	переодеваться
昂贵	дорогой, недешёвый, дорогостоящий
春季	весенний сезон; весна; весенний
有毒	ядовитый, токсический; отравляющий
有种	хватает смелости, хватает духу
校区	кампус; университетский городок
案子	процесс, дело (судебное)
棋牌	шахматы и карты (обр. настольные игры)
步伐	шаг, поступь
求助	просить о помощи; прибегать к помощи
汉奸	изменник, предатель; шпион
江湖	реки и озёра
河道	река; речной путь
治愈	излечить, вылечить, исцелить
泄漏	утечка, выброс (радиации)
演绎	делать умозаключение
爵士	сэр (титул и обращение)
现身	будд.
用地	участок земли для определённого…
电路	эл. электрическая цепь, электроцепь
疯子	сумасшедший, умалишённый, помешанный
瘫痪	прям., перен. паралич; быть парализованным
禁令	указ о запрете, запретительный закон
站台	перрон, платформа
终点	конечный пункт; конец, завершение
终究	в итоге, в конечном счёте, в конце концов
羡慕	восхищаться, страстно желать, жаждать
联手	вместе, рука об руку, общими силами
良心	совесть, честь; честность
英里	(английская, сухопутная) миля (~1,6 км)
视察	осматривать; осмотр; контролировать
订单	заказ (письменный); бланк заказа
语气	тон (речи, разговора) ; интонация
辅导	наставлять, вести; давать консультацию
过往	входить в контакт, общение, связь
迟到	прибывать с опозданием
通车	прямой поезд, прямое сообщение
键盘	клавиатура (компьютера), кнопочная панель
问道	спросить (перед прямой речью) wèndào…
限度	предел; лимит; ограничение; мера; норма
陛下	Ваше (Его, Её) Величество; государь
随之	следуя за..., вместе с...; тут же
雇佣	нанимать на работу; наёмный; по найму
上游	верхнее течение реки, верховье
不适	нездоровится; испытывать недомогание
中旬	десятые числа месяца, вторая декада
主教	христ. епископ, архиерей, экзарх
付款	выплачивать (деньги); уплатить, заплатить
份额	доля (в количественном соотношении)
伯爵	ист. титул бо
何必	зачем; к чему; с какой стати
依托	опираться, опора; полагаться
侵入	вторгаться; врываться; вторжение
信誉	репутация; доверие; доброе имя
光线	физ. луч света, световой луч
克拉	карат (мера веса)
入狱	попасть в тюрьму
其间	в это время, тем временем, между тем
剧烈	яростный, бурный; острый, сильный, резкий
功率	тех. мощность
动乱	впасть в смуту
动用	осваивать (напр. ассигнования)
华夏	Хуася (древнее название Китая)
卡片	карта, карточка (напр. библиотечная
喜悦	радоваться; радость, восторг
团长	командир полка
复苏	восстановление (напр. экономики)
外地	иные края; чужие земли, чужбина; иноземный
外语	сокр. иностранный язык
外长	wàizhǎng министр иностранных дел
大妈	тётка (жена старшего брата отца)
大雨	сильный дождь, ливень
女郎	барышня, девушка
奶粉	сухое молоко, молочный порошок
尼克	сокр., хим. никотин; никотиновый
带头	руководить; стоять во главе
幅度	амплитуда [колебаний]; колебания
建制	истеблишмент (англ. the establishment)
开业	открыть дело (предприятие)
归来	вернуться
归还	возвращаться
心意	мысли; намерения; замыслы; желания; чаяния
恐吓	пугать; запугивать; устрашать
惯例	общепринятые правила, протокол; обычай
探测	искать, выискивать, отыскивать; измерять
推送	проталкивание; продвигание
搜寻	искать, разыскивать, доискиваться; поиск
放过	пропускать; упускать (напр., случай)
散发	I sànfā
整整	как раз, ровно; полный, целый
新任	новоназначенный, новоизбранный
星际	межпланетный, межзвёздный; космический
晋升	дать повышение по службе; повысить
晋级	повышать в должности (ранге)
最少	самый малочисленный
机车	сокр. паровоз, локомотив
比率	мат. отношение, коэффициент
水利	водное хозяйство; водопользование
流血	кровотечение; кровоточить; истекать кровью
涌现	[на]хлынуть; появиться; выявиться
火力	сила огня, интенсивность горения
灰色	серый цвет; серый
热闹	оживлённый; праздничный, людный, шумный
狂热	горячий, лихорадочный; восторженный
猴子	обезьяна
秋天	осень, осенний сезон
称作	называться, именоваться
素材	материал, сырой материал
繁殖	биол. размножение, воспроизведение
终端	окончание, окончательный, оконечность
绿化	озеленять; озеленение
缓和	смягчать, сглаживать, мирно улаживать
肌肤	плоть (тело) и кожа; кожа
航天	космонавтика, астронавтика; космический
航行	плавать; плавание; рейс; навигация
虚构	фикция, домыслы; вымысел, выдумка, ложь
裁定	определение, постановление (судебное)
议论	критиковать; обсуждать
词语	слова, выражения; обороты [речи]
财物	имущество, состояние; ценности
贪婪	страстно жаждать (чего-л.)
身后	после смерти; посмертный
造就	воспитывать; готовить; растить (напр.
那年	[в] тот год
闪电	молния, зарница; молниеносный, зарничный
陪伴	быть в обществе (кого-л.)
雕像	статуя, изваяние
雕塑	ваять, лепить, создавать скульптуру
震动	приводить в движение, встряхивать
饥饿	голодать; голод (бедствие)
香烟	дым (от благовоний)
一千	тысяча
上床	ложиться в постель, лечь на кровать
严密	плотный; тесный
为名	wéimíng под предлогом, под именем
主页	начальная, главная страница сайта
九个	девять
九州	девять областей древнего Китая…
书法	каллиграфия; почерк
书面	письменный
交叉	пересекать, перекрещиваться
以至	вплоть до...; вплоть до того, что...
传到	долететь, дойти, донестись (об известиях
低下	низ; низкий
内存	комп. внутренняя память, машинная память
再生	вновь родиться; ожить, воскреснуть
凝聚	скапливать(ся), собирать(ся)
几种	несколько видов, несколько сортов
出事	произошёл инцидент, случилось происшествие
列举	приводить по порядку (постатейно; данные
十六	шестнадцать
南亚	сокр. южная часть Азии, Южная Азия
参照	следовать (чему-либо)
可悲	плачевный; печальный, прискорбный; жалкий
周二	вторник
国度	государство, страна
圣人	совершенный мудрец (человек); святой
坐标	мат. координата; координатный
填补	восполнять; дополнять; пополнять
壮大	внушительный, величественный; грандиозный
天体	небесное тело, светило
夺冠	взять титул чемпиона, выиграть, победить
子宫	анат. матка
宁可	лучше, лучше уж; скорее, охотнее, вернее
容忍	терпеливо переносить, терпеть, мириться с
宽容	мягкий, терпимый, снисходительный
局限	ограничиваться; ограниченный; ограничения
屋子	комната
屋里	комната; дом
崭新	новейший, новёхонький; самый свежий
幼儿	младенец; ребёнок, дитя
引领	смотреть с надеждой, уповать
忠实	верный; правдивый; искренний; праведный
念头	мысль; идея; мнение; забота
恐龙	динозавр
感冒	простуда; простудиться
打断	перешибить, переломить [ударом]
投机	использовать случай; приспосабливаться
报刊	печатные издания, пресса, печать
按钮	клавиша, кнопка
捕鱼	ловить рыбу; рыбная ловля, рыбный промысел
揭示	объявлять, оглашать, публиковать
放手	смело идти на (что-л.); смело; свободно
新版	новое издание, новая версия
无敌	не иметь себе равного; не иметь соперников
本事	běnshì основной сюжет (напр. пьесы)
术语	термин; терминология
条文	статья, текст (закона, договора)
校对	править корректуру; сверять
楼上	верхний этаж lóushang
流失	уноситься течением воды
清华	благородный, изящный, изысканный
瀑布	водопад
点燃	загораться; гореть
牌子	вывеска, дверная дощечка
直线	прямая линия; линейный; прямолинейный
短篇	короткий (о лит. произведении)
确信	точные сведения, верные известия
童话	детский рассказ, сказка
粉碎	раздробить, измельчить
粤语	гуандунский (кантонский) диалект…
索尼	Sony (японская компания)
红包	«красный конверт», конверт с деньгами
红旗	красное знамя, красный флаг -----
维基	инт. вики-, wiki- (напр. 维基百科 Википедия)
虚伪	пустой, фальшивый, поддельный, ложный
血统	кровное родство; кровь, порода
行人	пешеход, путник
解雇	расторгнуть соглашение о найме, уволить
警官	офицер полиции; офицер милиции
诅咒	проклинать; проклятие; проклятый
起草	набросать черновик
迄今	до сих пор, все ещё, пока; доныне, поныне
